condition,policy_label,delta_name,ref_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,ref_mean_cost,practical_band_abs,ci_within_1pct_practical_band,mean_cost
VALUE_NOISE_LOW,C_expected_exposure,vs_B,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583270.7045
VALUE_NOISE_LOW,D1_oracle,vs_B,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577820.8940000001
VALUE_NOISE_LOW,D1_oracle,vs_C,C_expected_exposure,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577820.8940000001
VALUE_NOISE_LOW,D2_oracle,vs_d1_oracle,D1_oracle,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,575894.0939999999
VALUE_NOISE_LOW,D2_oracle,vs_B,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,575894.0939999999
VALUE_NOISE_LOW,D2_oracle,vs_C,C_expected_exposure,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,575894.0939999999
VALUE_NOISE_LOW,D1_estimated,vs_d1_oracle,D1_oracle,20,19,1855.7429999999993,2863.437372177009,640.2840613501156,515.6130579399912,3195.8729420600075,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,True,579676.637
VALUE_NOISE_LOW,D1_estimated,vs_B,B_topk_probability,20,19,-76098.5775,9002.1047050681,2012.9318061102967,-80311.69219007232,-71885.46280992767,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,579676.637
VALUE_NOISE_LOW,D1_estimated,vs_C,C_expected_exposure,20,19,-3594.067499999993,2838.915516389805,634.8008077026522,-4922.720860279438,-2265.4141397205476,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,True,579676.637
VALUE_NOISE_LOW,D2_estimated,vs_d1_oracle,D1_oracle,20,19,-417.61300000000045,1944.3096369449104,434.7608517516756,-1327.5779206312823,492.3519206312814,includes_0,2.093024054408263,577820.8940000001,5778.208940000001,True,577403.281
